Year,SDG Series,Value
2004,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",1.653650371
2005,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",1.612344388
2006,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",2.978332079
2007,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.729133063
2008,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",5.996127362
2009,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",7.252784565
2010,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",8.880959969
2011,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.080772545
2012,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.51170175
2013,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.639599895
2014,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.829660227
2015,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.928438533
2016,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.416009918
2017,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.716819881
2018,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.464282523
2019,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",7.981701098
2020,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",7.602752045
2021,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",7.019042614
2022,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",6.848434414
2023,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",6.596918563
2004,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.775032029
2005,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.655626051
2006,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.741803275
2007,"Number of commercial bank branches per 100,000 adults [8.10.1]",3.565542022
2008,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.122620397
2009,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.404258905
2010,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.697437459
2011,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.966626617
2012,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.253207812
2013,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.368253259
2014,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.590078491
2015,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.720358625
2016,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.516307015
2017,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.365748323
2018,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.171446998
2019,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.969493445
2020,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.857313806
2021,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.587489457
2022,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.50609722
2023,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.480816727
