Year,SDG Series,Value
2006,Non-performing loans to total gross loans (%) [10.5.1],12.33626809
2007,Non-performing loans to total gross loans (%) [10.5.1],6.993453347
2008,Non-performing loans to total gross loans (%) [10.5.1],9.004418122
2009,Non-performing loans to total gross loans (%) [10.5.1],6.815581514
2010,Non-performing loans to total gross loans (%) [10.5.1],5.13264405
2011,Non-performing loans to total gross loans (%) [10.5.1],4.421192455
2012,Non-performing loans to total gross loans (%) [10.5.1],4.59096007
2013,Non-performing loans to total gross loans (%) [10.5.1],5.043582646
2014,Non-performing loans to total gross loans (%) [10.5.1],5.455119724
2015,Non-performing loans to total gross loans (%) [10.5.1],5.988764074
2016,Non-performing loans to total gross loans (%) [10.5.1],8.585968321
2017,Non-performing loans to total gross loans (%) [10.5.1],9.949128289
2018,Non-performing loans to total gross loans (%) [10.5.1],12.02672937
2019,Non-performing loans to total gross loans (%) [10.5.1],9.749355141
2020,Non-performing loans to total gross loans (%) [10.5.1],11.87857586
2021,Non-performing loans to total gross loans (%) [10.5.1],10.88646256
2022,Non-performing loans to total gross loans (%) [10.5.1],10.75311019
2023,Non-performing loans to total gross loans (%) [10.5.1],12.33555136
2006,Return on assets (%) [10.5.1],3.72354183
2007,Return on assets (%) [10.5.1],4.325252376
2008,Return on assets (%) [10.5.1],3.703175249
2009,Return on assets (%) [10.5.1],3.5307588
2010,Return on assets (%) [10.5.1],4.761230602
2011,Return on assets (%) [10.5.1],4.67950752
2012,Return on assets (%) [10.5.1],4.831123546
2013,Return on assets (%) [10.5.1],4.834021992
2014,Return on assets (%) [10.5.1],4.64929409
2015,Return on assets (%) [10.5.1],4.024323183
2016,Return on assets (%) [10.5.1],3.758219693
2017,Return on assets (%) [10.5.1],3.185063695
2018,Return on assets (%) [10.5.1],3.40420823
2019,Return on assets (%) [10.5.1],3.321317598
2020,Return on assets (%) [10.5.1],2.108010353
2021,Return on assets (%) [10.5.1],3.291841982
2022,Return on assets (%) [10.5.1],3.691681099
2023,Return on assets (%) [10.5.1],2.922423117
2006,Regulatory capital to assets (%) [10.5.1],10.6939644
2007,Regulatory capital to assets (%) [10.5.1],11.79403477
2008,Regulatory capital to assets (%) [10.5.1],10.20575615
2009,Regulatory capital to assets (%) [10.5.1],10.35978646
2010,Regulatory capital to assets (%) [10.5.1],11.66505605
2011,Regulatory capital to assets (%) [10.5.1],11.60379862
