Year,SDG Series,Type of product,Value
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,17.50881
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,26.65579
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,27.67819
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,16.45216
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,18.67776
2021,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,16.22669
2022,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,18.82573
2023,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,29.37342
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,24.77987
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,7.32023
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,3.28843
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,10.84461
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,21.07819
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,21.07819
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,22.26258
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,14.92442
2021,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,17.00354
2022,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,24.67594
2023,"Worldwide weighted tariff-average, preferential status [17.10.1]",Arms,25.0
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,24.6228
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,24.87912
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,24.39219
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,24.34476
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,24.33084
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,24.33084
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,27.19847
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,34.5378
2021,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,34.54406
